"","iso3c","country","date","gdp_per_capita","teenage_mothers","total_fertility","prevalence_undernourishment","gini_index","prenatal_care","tot_pop","maternal_mortality","gdp_per_capita_one_year_before","gdp_per_capita_four_year_average","teenage_mothers_one_year_before","teenage_mothers_four_year_average","total_fertility_one_year_before","total_fertility_four_year_average","prevalence_undernourishment_one_year_before","prevalence_undernourishment_four_year_average","gini_index_one_year_before","gini_index_four_year_average","prenatal_care_one_year_before","prenatal_care_four_year_average","tot_pop_one_year_before","tot_pop_four_year_average"
"303","HTI","Haiti",2016,1313.18609457981,NA,3.062,39.6,NA,NA,10713849,388,12634.3195701712,16142.3585265268,NA,NA,1.43,1.92,2.5,5.825,30.9,40.35,NA,NA,4174349,5432708.5
"304","HUN","Hungary",2016,13104.6995457458,NA,1.53,2.5,30.3,NA,9814023,14,1313.18609457981,14994.3100012638,NA,NA,3.062,2.05825,39.6,14.875,NA,40.35,NA,NA,10713849,7921399
"305","IDN","Indonesia",2016,3558.81885175737,NA,2.309,6.7,36.9,NA,261850182,194,13104.6995457458,7336.93537012526,NA,NA,1.53,2.1395,2.5,14.875,30.3,37,NA,NA,9814023,8540754.75
"306","IMN","Isle of Man",2016,82041.6724147014,NA,1.691,NA,NA,NA,83450,NA,3558.81885175737,7652.75601556354,NA,NA,2.309,2.08275,6.7,12.825,36.9,32.7,NA,NA,261850182,71638100.75
"307","IND","India",2016,1714.27953738629,7.9,2.273,13.5,34.7,79.3,1338636340,121,82041.6724147014,25004.5942266961,NA,NA,1.691,2.148,NA,16.2666666666667,NA,33.6,NA,NA,83450,70615376
"308","IRL","Ireland",2016,62784.0656875694,NA,1.81,2.5,32.8,NA,4755335,5,1714.27953738629,25104.8675873977,7.9,7.9,2.273,1.95075,13.5,7.56666666666667,34.7,33.9666666666667,79.3,79.3,1338636340,402595998.75
"309","IRN","Iran, Islamic Rep.",2016,5497.24323254699,NA,2.07,6.8,35.9,NA,83306231,20,62784.0656875694,37524.7091228536,NA,7.9,1.81,2.02075,2.5,7.56666666666667,32.8,34.8,NA,79.3,4755335,401331326.75
"310","IRQ","Iraq",2016,4308.84808910054,NA,3.9,17.6,NA,NA,38697943,85,5497.24323254699,38009.315218051,NA,7.9,2.07,1.961,6.8,7.6,35.9,34.4666666666667,NA,79.3,83306231,356695339
"311","ISL","Iceland",2016,61987.9263620283,NA,1.74,2.5,27.2,NA,335439,3,4308.84808910054,18576.1091366508,NA,7.9,3.9,2.51325,17.6,10.1,NA,34.4666666666667,NA,79.3,38697943,366348962.25
"312","ISR","Israel",2016,37690.4739511859,NA,3.11,2.5,39,NA,8546000,3,61987.9263620283,33644.5208428113,NA,NA,1.74,2.38,2.5,7.35,27.2,31.9666666666667,NA,NA,335439,31773737
"313","ITA","Italy",2016,30960.7315088902,NA,1.34,2.5,35.2,NA,60627498,6,37690.4739511859,27371.1229087154,NA,NA,3.11,2.705,2.5,7.35,39,34.0333333333333,NA,NA,8546000,32721403.25
"314","JAM","Jamaica",2016,5022.70017844299,NA,1.516,7.7,NA,NA,2802695,98,30960.7315088902,33736.9949778012,NA,NA,1.34,2.5225,2.5,6.275,35.2,33.8,NA,NA,60627498,27051720
"315","JOR","Jordan",2016,4003.40474641177,NA,3.077,NA,NA,NA,9964656,43,5022.70017844299,33915.4580001368,NA,NA,1.516,1.9265,7.7,3.8,NA,33.8,NA,NA,2802695,18077908
"316","JPN","Japan",2016,39375.4731620781,NA,1.44,2.5,NA,NA,127076000,5,4003.40474641177,19419.3275962327,NA,NA,3.077,2.26075,NA,4.23333333333333,NA,37.1,NA,NA,9964656,20485212.25
"317","KAZ","Kazakhstan",2016,7714.84184376024,NA,2.77,2.5,27.2,NA,17794055,13,39375.4731620781,19840.5773989558,NA,NA,1.44,1.84325,2.5,4.23333333333333,NA,35.2,NA,NA,127076000,50117712.25
"318","KEN","Kenya",2016,1562.07661862777,NA,3.724,21.5,NA,NA,47894670,505,7714.84184376024,14029.1049826733,NA,NA,2.77,2.20075,2.5,4.23333333333333,27.2,27.2,NA,NA,17794055,39409351.5
"319","KGZ","Kyrgyz Republic",2016,1120.66705800127,NA,3.1,5.5,26.8,NA,6079500,53,1562.07661862777,13163.9490927195,NA,NA,3.724,2.75275,21.5,8.83333333333333,NA,27.2,NA,NA,47894670,50682345.25
"320","KHM","Cambodia",2016,1281.10597105412,NA,2.512,6.5,NA,NA,15624584,197,1120.66705800127,12443.2646706168,NA,NA,3.1,2.7585,5.5,8,26.8,27,NA,NA,6079500,49711056.25
"321","KIR","Kiribati",2016,1743.76286839846,NA,3.471,10.9,NA,NA,118513,117,1281.10597105412,2919.67287286085,NA,NA,2.512,3.0265,6.5,9,NA,27,NA,NA,15624584,21848202.25
"322","KNA","St. Kitts and Nevis",2016,21068.4380706143,NA,1.633,NA,NA,NA,47788,NA,1743.76286839846,1426.90312902041,NA,NA,3.471,3.20175,10.9,11.1,NA,26.8,NA,NA,118513,17429316.75
"323","KOR","Korea, Rep.",2016,29280.4403170048,NA,1.172,2.5,35.2,NA,51217803,6,21068.4380706143,6303.49349201704,NA,NA,1.633,2.679,NA,7.63333333333333,NA,26.8,NA,NA,47788,5467596.25
"324","KWT","Kuwait",2016,27026.7729279269,NA,2.157,2.5,NA,NA,4048085,6,29280.4403170048,13343.4368067679,NA,NA,1.172,2.197,2.5,6.63333333333333,35.2,35.2,NA,NA,51217803,16752172
"325","LAO","Lao PDR",2016,2309.04999818095,NA,2.722,5.9,NA,NA,6891363,167,27026.7729279269,19779.8535459861,NA,NA,2.157,2.10825,2.5,5.3,NA,35.2,NA,NA,4048085,13858047.25
"326","LBN","Lebanon",2016,8172.29947599133,NA,2.183,NA,NA,NA,6258619,19,2309.04999818095,19921.1753284317,NA,NA,2.722,1.921,5.9,3.63333333333333,NA,35.2,NA,NA,6891363,15551259.75
"327","LBR","Liberia",2016,722.131226789418,33.5,4.461,35.3,35.3,97.9,4706097,628,8172.29947599133,16697.140679776,NA,NA,2.183,2.0585,NA,3.63333333333333,NA,35.2,NA,NA,6258619,17103967.5
"328","LBY","Libya",2016,7945.00421529319,NA,2.673,6.6,NA,NA,6282196,74,722.131226789418,9557.56340722215,33.5,33.5,4.461,2.88075,35.3,14.5666666666667,35.3,35.3,97.9,97.9,4706097,5476041
"329","LCA","St. Lucia",2016,10591.8750003936,NA,1.461,NA,NA,NA,176413,64,7945.00421529319,4787.12122906372,NA,33.5,2.673,3.00975,6.6,15.9333333333333,NA,35.3,NA,97.9,6282196,6034568.75
"330","LIE","Liechtenstein",2016,165845.995200652,NA,1.61,NA,NA,NA,37609,NA,10591.8750003936,6857.82747961688,NA,33.5,1.461,2.6945,NA,20.95,NA,35.3,NA,97.9,176413,4355831.25
"331","LKA","Sri Lanka",2016,4107.82977539914,NA,2.068,8.1,39.3,98.8,21425494,30,165845.995200652,46276.251410782,NA,33.5,1.61,2.55125,NA,20.95,NA,35.3,NA,97.9,37609,2800578.75
"332","LSO","Lesotho",2016,986.265249840927,NA,3.239,34,NA,NA,2143872,668,4107.82977539914,47122.6760479345,NA,NA,2.068,1.953,8.1,7.35,39.3,39.3,98.8,98.8,21425494,6980428
"333","LTU","Lithuania",2016,15008.3132445526,NA,1.69,2.5,38.4,NA,2868231,8,986.265249840927,45382.9913065714,NA,NA,3.239,2.0945,34,21.05,NA,39.3,NA,98.8,2143872,5945847
"334","LUX","Luxembourg",2016,106899.293549552,NA,1.41,2.5,31.7,NA,582014,6,15008.3132445526,46487.1008676112,NA,NA,1.69,2.15175,2.5,14.8666666666667,38.4,38.85,NA,98.8,2868231,6618801.5
"335","LVA","Latvia",2016,14331.7515885049,NA,1.74,2.5,34.3,NA,1959537,21,106899.293549552,31750.4254548362,NA,NA,1.41,2.10175,2.5,11.775,31.7,36.4666666666667,NA,98.8,582014,6754902.75
"336","MAC","Macao SAR, China",2016,71919.054918813,NA,1.175,5.7,NA,NA,626688,NA,14331.7515885049,34306.4059081126,NA,NA,1.74,2.01975,2.5,10.375,34.3,34.8,NA,NA,1959537,1888413.5
"337","MAF","St. Martin (French part)",2016,NA,NA,2.534,NA,NA,NA,34811,NA,71919.054918813,52039.6033253556,NA,NA,1.175,1.50375,5.7,3.3,NA,34.8,NA,NA,626688,1509117.5
"338","MAR","Morocco",2016,3132.9521484375,NA,2.451,3.7,NA,NA,35107264,85,NA,64383.3666856233,NA,NA,2.534,1.71475,NA,3.56666666666667,NA,33,NA,NA,34811,800762.5
"339","MCO","Monaco",2016,174412.494536127,NA,NA,NA,NA,NA,37071,NA,3132.9521484375,29794.5862185851,NA,NA,2.451,1.975,3.7,3.96666666666667,NA,34.3,NA,NA,35107264,9432075
"340","MDA","Moldova",2016,2847.08794770479,NA,1.89,2.5,26.3,NA,2803186,15,174412.494536127,83154.8338677925,NA,NA,NA,2.05333333333333,NA,4.7,NA,NA,NA,NA,37071,8951458.5
"341","MDG","Madagascar",2016,464.61615837171,38.9,4.163,41.9,NA,87,25501941,447,2847.08794770479,60130.8448774231,NA,NA,1.89,2.29166666666667,2.5,3.1,26.3,26.3,NA,NA,2803186,9495583
"342","MDV","Maldives",2016,9708.14134853645,NA,1.913,NA,31.3,NA,454252,51,464.61615837171,45214.2876976602,38.9,38.9,4.163,2.83466666666667,41.9,16.0333333333333,NA,26.3,87,87,25501941,15862365.5
"343","MEX","Mexico",2016,9152.73722379028,NA,2.086,3.8,46.9,NA,121519221,49,9708.14134853645,46858.084997685,NA,38.9,1.913,2.65533333333333,NA,22.2,31.3,28.8,NA,87,454252,7199112.5
"344","MHL","Marshall Islands",2016,4156.93912680937,NA,2.983,NA,NA,NA,48329,NA,9152.73722379028,5543.14566960081,NA,38.9,2.086,2.513,3.8,16.0666666666667,46.9,34.8333333333333,NA,87,121519221,37569650
"345","MKD","North Macedonia",2016,5598.48622617967,NA,1.5,3.3,34.5,NA,1906313,3,4156.93912680937,5870.60846437695,NA,38.9,2.983,2.78625,NA,22.85,NA,39.1,NA,87,48329,36880935.75
"346","MLI","Mali",2016,750.051809102295,NA,6.319,3.8,NA,NA,18700106,470,5598.48622617967,7154.07598132894,NA,NA,1.5,2.1205,3.3,3.55,34.5,37.5666666666667,NA,NA,1906313,30982028.75
"347","MLT","Malta",2016,25623.9416320597,NA,1.37,2.5,29.1,NA,455356,3,750.051809102295,4914.5535964704,NA,NA,6.319,3.222,3.8,3.63333333333333,NA,40.7,NA,NA,18700106,35543492.25
"348","MMR","Myanmar",2016,1219.80143924907,5.9,2.249,3.4,NA,80.7,51892349,242,25623.9416320597,9032.35469853776,NA,NA,1.37,3.043,2.5,3.2,29.1,31.8,NA,NA,455356,5277526
"349","MNE","Montenegro",2016,7033.43962398373,NA,1.79,2.5,38.5,NA,622303,6,1219.80143924907,8298.07027664768,5.9,5.9,2.249,2.8595,3.4,3.25,NA,31.8,80.7,80.7,51892349,18238531
"350","MNG","Mongolia",2016,3690.75677759847,NA,2.957,6.8,32.3,NA,3029555,47,7033.43962398373,8656.8086260987,NA,5.9,1.79,2.932,2.5,3.05,38.5,33.8,NA,80.7,622303,17917528.5
"351","MNP","Northern Mariana Islands",2016,24054.9156122269,NA,NA,NA,NA,NA,51133,NA,3690.75677759847,9391.98486822274,NA,5.9,2.957,2.0915,6.8,3.8,32.3,33.3,NA,80.7,3029555,13999890.75
"352","MOZ","Mozambique",2016,435.760991009624,NA,4.992,40.7,NA,NA,27696493,194,24054.9156122269,8999.72836326454,NA,5.9,NA,2.332,NA,4.23333333333333,NA,35.4,NA,80.7,51133,13898835
"353","MRT","Mauritania",2016,1579.20071673512,NA,4.741,7,NA,NA,4051890,480,435.760991009624,8803.71825120468,NA,NA,4.992,3.24633333333333,40.7,16.6666666666667,NA,35.4,NA,NA,27696493,7849871
"354","MUS","Mauritius",2016,9965.72531085228,NA,1.4,6.1,NA,NA,1263747,52,1579.20071673512,7440.15852439253,NA,NA,4.741,4.23,7,18.1666666666667,NA,32.3,NA,NA,4051890,8707267.75
"355","MWI","Malawi",2016,454.443266065248,29,4.309,14.3,44.7,94.8,17405624,430,9965.72531085228,9008.90065770598,NA,NA,1.4,3.711,6.1,17.9333333333333,NA,NA,NA,NA,1263747,8265815.75
"356","MYS","Malaysia",2016,9555.66959336559,NA,1.978,5.7,NA,NA,31526418,22,454.443266065248,3108.78257116557,29,29,4.309,3.8605,14.3,17.025,44.7,44.7,94.8,94.8,17405624,12604438.5
"357","NAM","Namibia",2016,4614.89207493896,NA,3.574,19.3,NA,NA,2323352,246,9555.66959336559,5388.75972175456,NA,29,1.978,3.107,5.7,8.275,NA,44.7,NA,94.8,31526418,13561919.75
"358","NCL","New Caledonia",2016,32286.9104984753,NA,2.13,7.3,NA,NA,270220,NA,4614.89207493896,6147.68256130552,NA,29,3.574,2.81525,19.3,11.35,NA,44.7,NA,94.8,2323352,13129785.25
"359","NER","Niger",2016,497.036120831726,NA,7.141,11.7,NA,NA,20921743,468,32286.9104984753,11727.9788582113,NA,29,2.13,2.99775,7.3,11.65,NA,44.7,NA,94.8,270220,12881403.5
"360","NGA","Nigeria",2016,2144.78034442697,NA,5.584,9.6,NA,NA,188666931,1129,497.036120831726,11738.6270719029,NA,NA,7.141,3.70575,11.7,11,NA,NA,NA,NA,20921743,13760433.25
"361","NIC","Nicaragua",2016,2079.45373495517,NA,2.455,18.3,NA,NA,6389235,77,2144.78034442697,9885.90475966824,NA,NA,5.584,4.60725,9.6,11.975,NA,NA,NA,NA,188666931,53045561.5
"362","NLD","Netherlands",2016,46039.1059284098,NA,1.66,2.5,28.2,NA,17030314,5,2079.45373495517,9252.04517467229,NA,NA,2.455,4.3275,18.3,11.725,NA,NA,NA,NA,6389235,54062032.25
"363","NOR","Norway",2016,70867.3609970749,NA,1.71,2.5,28.5,NA,5234519,2,46039.1059284098,12690.0940321559,NA,NA,1.66,4.21,2.5,10.525,28.2,28.2,NA,NA,17030314,58252055.75
"364","NPL","Nepal",2016,880.224893639824,16.7,2.203,5.4,NA,83.6,27861186,224,70867.3609970749,30282.6752512167,NA,NA,1.71,2.85225,2.5,8.225,28.5,28.35,NA,NA,5234519,54330249.75
"365","NRU","Nauru",2016,8528.63015087044,NA,3.791,NA,NA,NA,11437,NA,880.224893639824,29966.5363885199,16.7,16.7,2.203,2.007,5.4,7.175,NA,28.35,83.6,83.6,27861186,14128813.5
"366","NZL","New Zealand",2016,40070.8956577431,NA,1.87,2.5,NA,NA,4714100,8,8528.63015087044,31578.8304924987,NA,16.7,3.791,2.341,NA,3.46666666666667,NA,28.35,NA,83.6,11437,12534364
"367","OMN","Oman",2016,17082.2061998982,NA,2.946,6.3,NA,NA,4398070,15,40070.8956577431,30086.7779248321,NA,16.7,1.87,2.3935,2.5,3.46666666666667,NA,28.5,NA,83.6,4714100,9455310.5
"368","PAK","Pakistan",2016,1468.82208238833,NA,3.827,11.5,NA,NA,213524840,188,17082.2061998982,16640.4892255379,NA,16.7,2.946,2.7025,6.3,4.73333333333333,NA,NA,NA,83.6,4398070,9246198.25
"369","PAN","Panama",2016,14382.2323819969,NA,2.528,7,50.4,NA,4026336,49,1468.82208238833,16787.638522725,NA,NA,3.827,3.1085,11.5,6.76666666666667,NA,NA,NA,NA,213524840,55662111.75
"370","PER","Peru",2016,6163.86042474328,NA,2.306,6.1,43.6,97.6,31132779,62,14382.2323819969,18251.0390805066,NA,NA,2.528,2.79275,7,6.825,50.4,50.4,NA,NA,4026336,56665836.5
"371","PHL","Philippines",2016,3038.15203684461,NA,2.892,7.8,NA,NA,104875266,86,6163.86042474328,9774.28027225668,NA,NA,2.306,2.90175,6.1,7.725,43.6,47,97.6,97.6,31132779,63270506.25
"372","PLW","Palau",2016,17142.1292548657,NA,NA,NA,NA,NA,17816,NA,3038.15203684461,6263.26673149328,NA,NA,2.892,2.88825,7.8,8.1,NA,47,NA,97.6,104875266,88389805.25
"373","PNG","Papua New Guinea",2016,2332.67588834678,NA,3.495,22.9,NA,NA,8899169,209,17142.1292548657,10181.5935246126,NA,NA,NA,2.57533333333333,NA,6.96666666666667,NA,47,NA,97.6,17816,35013049.25
"374","POL","Poland",2016,12378.8128106111,NA,1.39,2.5,31.2,NA,37970087,2,2332.67588834678,7169.20440120009,NA,NA,3.495,2.89766666666667,22.9,12.2666666666667,NA,43.6,NA,97.6,8899169,36231257.5
"375","PRI","Puerto Rico",2016,30627.1634017011,NA,1.2425,NA,NA,NA,3406672,18,12378.8128106111,8722.94249766705,NA,NA,1.39,2.59233333333333,2.5,11.0666666666667,31.2,31.2,NA,NA,37970087,37940584.5
"376","PRK","Korea, Dem. People's Rep.",2016,NA,NA,1.87,41.4,NA,NA,25389611,109,30627.1634017011,15620.1953388812,NA,NA,1.2425,2.0425,NA,12.7,NA,31.2,NA,NA,3406672,12573436
"377","PRT","Portugal",2016,19991.9724878805,NA,1.36,2.5,35.2,NA,10325452,11,NA,15112.884033553,NA,NA,1.87,1.999375,41.4,22.2666666666667,NA,31.2,NA,NA,25389611,18916384.75
"378","PRY","Paraguay",2016,5759.04219789251,NA,2.624,2.7,47.9,98.7,6266615,69,19991.9724878805,20999.3162333976,NA,NA,1.36,1.465625,2.5,15.4666666666667,35.2,33.2,NA,NA,10325452,19272955.5
"379","PSE","West Bank and Gaza",2016,3527.61382413178,NA,3.935,NA,33.7,NA,4367088,24,5759.04219789251,18792.726029158,NA,NA,2.624,1.774125,2.7,15.5333333333333,47.9,41.55,98.7,98.7,6266615,11347087.5
"380","PYF","French Polynesia",2016,18726.6394704764,NA,1.852,6.1,NA,NA,293541,NA,3527.61382413178,9759.54283663493,NA,NA,3.935,2.44725,NA,15.5333333333333,33.7,38.9333333333333,NA,98.7,4367088,11587191.5
"381","QAT","Qatar",2016,58467.2355711087,NA,1.827,NA,NA,NA,2595166,7,18726.6394704764,12001.3169950953,NA,NA,1.852,2.44275,6.1,3.76666666666667,NA,38.9333333333333,NA,98.7,293541,5313174
"382","ROU","Romania",2016,9404.38125929526,NA,1.69,2.5,34.4,73.6,19702267,16,58467.2355711087,21620.1327659023,NA,NA,1.827,2.5595,NA,4.4,NA,40.8,NA,98.7,2595166,3380602.5
"383","RUS","Russian Federation",2016,8663.158203125,NA,1.762,2.5,36.7,NA,145015460,8,9404.38125929526,22531.467531253,NA,NA,1.69,2.326,2.5,4.3,34.4,34.05,73.6,73.6,19702267,6739515.5
"384","RWA","Rwanda",2016,728.802757896536,NA,4.06,31.5,43.7,NA,11930899,292,8663.158203125,23815.3536260013,NA,NA,1.762,1.78275,2.5,3.7,36.7,35.55,NA,73.6,145015460,41901608.5
"385","SAU","Saudi Arabia",2016,19930.4111440325,NA,2.59,4.4,NA,NA,33416270,16,728.802757896536,19315.8944478564,NA,NA,4.06,2.33475,31.5,12.1666666666667,43.7,38.2666666666667,NA,73.6,11930899,44810948
"386","SDN","Sudan",2016,1082.61657714844,NA,4.829,10.6,NA,NA,39377169,301,19930.4111440325,9681.68834108732,NA,NA,2.59,2.5255,4.4,10.225,NA,38.2666666666667,NA,73.6,33416270,52516224
"387","SEN","Senegal",2016,1290.74997126951,15.6,4.683,8.3,NA,95.9,14751356,280,1082.61657714844,7601.24717055062,NA,NA,4.829,3.31025,10.6,12.25,NA,40.2,NA,NA,39377169,57434949.5
"388","SGP","Singapore",2016,56899.9181805173,NA,1.2,NA,NA,NA,5607283,7,1290.74997126951,5758.14511258675,15.6,15.6,4.683,4.0405,8.3,13.7,NA,43.7,95.9,95.9,14751356,24868923.5
"389","SLB","Solomon Islands",2016,2196.28389055503,NA,4.293,20.9,NA,NA,628102,133,56899.9181805173,19800.9239682419,NA,15.6,1.2,3.3255,NA,7.76666666666667,NA,NA,NA,95.9,5607283,23288019.5
"390","SLE","Sierra Leone",2016,515.447839602837,35,4.466,24.2,NA,94.2,7493913,505,2196.28389055503,15367.3921548726,NA,15.6,4.293,3.75125,20.9,13.2666666666667,NA,NA,NA,95.9,628102,15090977.5
"391","SLV","El Salvador",2016,3870.31298246063,NA,1.965,8.9,40,NA,6250510,42,515.447839602837,15225.5999704862,35,25.3,4.466,3.6605,24.2,17.8,NA,NA,94.2,95.05,7493913,7120163.5
"392","SMR","San Marino",2016,43398.4285257227,NA,NA,NA,NA,NA,33834,NA,3870.31298246063,15870.4907232839,NA,35,1.965,2.981,8.9,18,40,40,NA,94.2,6250510,4994952
"393","SOM","Somalia",2016,517.097581505502,NA,6.886,57.7,NA,NA,14292847,711,43398.4285257227,12495.1183095853,NA,35,NA,3.57466666666667,NA,18,NA,40,NA,94.2,33834,3601589.75
"394","SRB","Serbia",2016,5765.20335248009,NA,1.46,2.5,38.8,NA,7058322,12,517.097581505502,12075.3217323229,NA,35,6.886,4.439,57.7,30.2666666666667,NA,40,NA,94.2,14292847,7017776
"395","SSD","South Sudan",2016,NA,NA,4.855,NA,44.1,NA,11066105,1288,5765.20335248009,13387.7606105422,NA,NA,1.46,3.437,2.5,23.0333333333333,38.8,39.4,NA,NA,7058322,6908878.25
"396","STP","Sao Tome and Principe",2016,1428.25790783907,NA,4.274,15.8,NA,NA,204632,164,NA,16560.2431532361,NA,NA,4.855,4.40033333333333,NA,30.1,44.1,41.45,NA,NA,11066105,8112777
"397","SUR","Suriname",2016,5705.39948731743,NA,2.469,9.7,NA,NA,581453,105,1428.25790783907,2570.18628060822,NA,NA,4.274,4.36875,15.8,25.3333333333333,NA,41.45,NA,NA,204632,8155476.5
"398","SVK","Slovak Republic",2016,16563.4404971229,NA,1.48,5.2,25.2,NA,5430798,5,5705.39948731743,4299.6202492122,NA,NA,2.469,3.2645,9.7,9.33333333333333,NA,41.45,NA,NA,581453,4727628
"399","SVN","Slovenia",2016,21678.3594670629,NA,1.58,2.5,24.8,NA,2065042,5,16563.4404971229,7899.0326307598,NA,NA,1.48,3.2695,5.2,10.2333333333333,25.2,34.65,NA,NA,5430798,4320747
"400","SWE","Sweden",2016,51965.1571531985,NA,1.85,2.5,29.6,NA,9923085,4,21678.3594670629,11343.8643398356,NA,NA,1.58,2.45075,2.5,8.3,24.8,25,NA,NA,2065042,2070481.25
"401","SWZ","Eswatini",2016,3339.99040122187,NA,3.068,14.5,54.6,NA,1142524,275,51965.1571531985,23978.0891511754,NA,NA,1.85,1.84475,2.5,4.975,29.6,26.5333333333333,NA,NA,9923085,4500094.5
"402","SXM","Sint Maarten (Dutch part)",2016,36597.6920061528,NA,1.673,NA,NA,NA,38992,NA,3339.99040122187,23386.7368796515,NA,NA,3.068,1.9945,14.5,6.175,54.6,33.55,NA,NA,1142524,4640362.25
"403","SYC","Seychelles",2016,16566.9946042294,NA,2.39,4.7,NA,NA,94677,5,36597.6920061528,28395.299756909,NA,NA,1.673,2.04275,NA,6.5,NA,36.3333333333333,NA,NA,38992,3292410.75
"404","SYR","Syrian Arab Republic",2016,664.294847192603,NA,2.994,13.5,NA,NA,18964252,29,16566.9946042294,27117.4585412006,NA,NA,2.39,2.24525,4.7,7.23333333333333,NA,42.1,NA,NA,94677,2799819.5
"405","TCA","Turks and Caicos Islands",2016,26995.0321602259,NA,1.722,NA,NA,NA,38246,NA,664.294847192603,14292.2429646992,NA,NA,2.994,2.53125,13.5,10.9,NA,54.6,NA,NA,18964252,5060111.25
"406","TCD","Chad",2016,691.980077427731,NA,6.623,26.1,NA,NA,14592585,1145,26995.0321602259,20206.0034044502,NA,NA,1.722,2.19475,NA,9.1,NA,NA,NA,NA,38246,4784041.75
"407","TGO","Togo",2016,792.44099138624,NA,4.56,20.3,NA,NA,7661354,439,691.980077427731,11229.5754222689,NA,NA,6.623,3.43225,26.1,14.7666666666667,NA,NA,NA,NA,14592585,8422440
"408","THA","Thailand",2016,5854.4639077194,NA,1.435,6.8,36.9,98.1,70607037,29,792.44099138624,7285.93701905812,NA,NA,4.56,3.97475,20.3,19.9666666666667,NA,NA,NA,NA,7661354,10314109.25
"409","TJK","Tajikistan",2016,801.39383995978,NA,3.384,14.1,NA,NA,8725318,20,5854.4639077194,8583.47928418982,NA,NA,1.435,3.585,6.8,17.7333333333333,36.9,36.9,98.1,98.1,70607037,23224805.5
"410","TKM","Turkmenistan",2016,6163.25340597611,NA,2.887,5.6,NA,99.6,5868561,6,801.39383995978,2035.06970412329,NA,NA,3.384,4.0005,14.1,16.825,NA,36.9,NA,98.1,8725318,25396573.5
"411","TLS","Timor-Leste",2016,1349.54677672507,6.9,3.737,27.1,NA,84.4,1224562,262,6163.25340597611,3402.88803626038,NA,NA,2.887,3.0665,5.6,11.7,NA,36.9,99.6,98.85,5868561,23215567.5
"412","TON","Tonga",2016,3978.43768561484,NA,3.483,NA,NA,NA,105707,84,1349.54677672507,3542.16448259509,6.9,6.9,3.737,2.86075,27.1,13.4,NA,36.9,84.4,94.0333333333333,1224562,21606369.5
"413","TTO","Trinidad and Tobago",2016,16139.105257595,NA,1.678,11.5,NA,NA,1469330,29,3978.43768561484,3073.15792706895,NA,6.9,3.483,3.37275,NA,15.6,NA,NA,NA,92,105707,3981037
"414","TUN","Tunisia",2016,3796.1095999439,NA,2.238,2.7,NA,NA,11685667,38,16139.105257595,6907.58578147775,NA,6.9,1.678,2.94625,11.5,14.7333333333333,NA,NA,NA,92,1469330,2167040
"415","TUR","Turkiye",2016,10970.0458948862,NA,2.177,2.5,NA,NA,79277962,20,3796.1095999439,6315.7998299697,NA,6.9,2.238,2.784,2.7,13.7666666666667,NA,NA,NA,84.4,11685667,3621316.5
"416","TUV","Tuvalu",2016,3836.07300251003,NA,3.195,NA,NA,NA,10852,NA,10970.0458948862,8720.92460950998,NA,NA,2.177,2.394,2.5,5.56666666666667,NA,NA,NA,NA,79277962,23134666.5
"417","TZA","Tanzania",2016,942.889038085938,26.7,5.033,21.1,NA,98,54401802,298,3836.07300251003,8685.33343873378,NA,NA,3.195,2.322,NA,5.56666666666667,NA,NA,NA,NA,10852,23110952.75
"418","UGA","Uganda",2016,753.684405508036,24.8,5.174,34.2,42.8,97.3,38748299,311,942.889038085938,4886.27938385652,26.7,26.7,5.033,3.16075,21.1,8.76666666666667,NA,NA,98,98,54401802,36344070.75
"419","UKR","Ukraine",2016,2187.7275390625,NA,1.466,2.5,25,NA,45038236,10,753.684405508036,4125.67308524755,24.8,25.75,5.174,3.89475,34.2,19.2666666666667,42.8,42.8,97.3,97.65,38748299,43109728.75
"420","URY","Uruguay",2016,16837.9403803049,NA,1.945,2.5,39.7,NA,3413766,17,2187.7275390625,1930.09349629163,NA,25.75,1.466,3.717,2.5,19.2666666666667,25,33.9,NA,97.65,45038236,34549797.25
"421","USA","United States",2016,58206.6141931844,NA,1.8205,2.5,41.1,NA,323071755,18,16837.9403803049,5180.56034074034,NA,25.75,1.945,3.4045,2.5,15.075,39.7,35.8333333333333,NA,97.65,3413766,35400525.75
"422","UZB","Uzbekistan",2016,2704.6771888938,NA,2.455,2.5,NA,NA,31847900,30,58206.6141931844,19496.491629515,NA,24.8,1.8205,2.601375,2.5,10.425,41.1,37.15,NA,97.3,323071755,102568014
"423","VCT","St. Vincent and the Grenadines",2016,7684.79283998852,NA,2.025,4.3,NA,NA,105963,35,2704.6771888938,19984.2398253614,NA,NA,2.455,1.921625,2.5,2.5,NA,35.2666666666667,NA,NA,31847900,100842914.25
"424","VEN","Venezuela, RB",2016,NA,NA,2.317,16.8,NA,NA,30741464,150,7684.79283998852,21358.5061505929,NA,NA,2.025,2.061375,4.3,2.95,NA,40.4,NA,NA,105963,89609846
"425","VGB","British Virgin Islands",2016,NA,NA,0.987,NA,NA,NA,29739,NA,NA,22865.3614073556,NA,NA,2.317,2.154375,16.8,6.525,NA,41.1,NA,NA,30741464,96441770.5
"426","VIR","Virgin Islands (U.S.)",2016,35324.9748874586,NA,2.09,NA,NA,NA,107516,NA,NA,5194.73501444116,NA,NA,0.987,1.946,NA,7.86666666666667,NA,NA,NA,NA,29739,15681266.5
