"","iso3c","country","date","gdp_per_capita","teenage_mothers","total_fertility","prevalence_undernourishment","gini_index","prenatal_care","tot_pop","maternal_mortality","gdp_per_capita_one_year_before","gdp_per_capita_four_year_average","teenage_mothers_one_year_before","teenage_mothers_four_year_average","total_fertility_one_year_before","total_fertility_four_year_average","prevalence_undernourishment_one_year_before","prevalence_undernourishment_four_year_average","gini_index_one_year_before","gini_index_four_year_average","prenatal_care_one_year_before","prenatal_care_four_year_average","tot_pop_one_year_before","tot_pop_four_year_average"
"27","BRA","Brazil",2015,8783.2154236384,NA,1.777,2.5,51.9,97.2,205188205,62,2975.64881143063,29261.7357733132,NA,NA,2.886,2.112,16,8.43333333333333,46.7,36.15,NA,NA,11090085,5244067.25
"28","BRB","Barbados",2015,17040.4176091311,NA,1.614,2.5,NA,NA,278083,49,8783.2154236384,29965.7724891372,NA,NA,1.777,2.12525,2.5,8.43333333333333,51.9,49.3,97.2,97.2,205188205,54175849.5
"29","BRN","Brunei Darussalam",2015,30681.4339698653,NA,1.947,NA,NA,NA,421437,45,17040.4176091311,32701.2268715225,NA,NA,1.614,1.91925,2.5,7,NA,49.3,NA,97.2,278083,54155402.5
"30","BTN","Bhutan",2015,2899.22829354394,NA,1.957,NA,NA,NA,743274,74,30681.4339698653,14870.1789535164,NA,NA,1.947,2.056,NA,7,NA,49.3,NA,97.2,421437,54244452.5
"31","BWA","Botswana",2015,5869.73757890628,NA,2.942,24.1,53.3,NA,2305171,184,2899.22829354394,14851.0738240447,NA,NA,1.957,1.82375,NA,2.5,NA,51.9,NA,97.2,743274,51657749.75
"32","CAF","Central African Republic",2015,351.879754769554,NA,6.035,49.1,NA,NA,4819333,909,5869.73757890628,14122.7043628617,NA,NA,2.942,2.115,24.1,13.3,53.3,53.3,NA,NA,2305171,936991.25
"33","CAN","Canada",2015,43594.1941045394,NA,1.6,2.5,33.7,NA,35704498,12,351.879754769554,9950.56989927127,NA,NA,6.035,3.22025,49.1,36.6,NA,53.3,NA,NA,4819333,2072303.75
"34","CHE","Switzerland",2015,83806.4476003837,NA,1.54,2.5,32.3,NA,8282396,6,43594.1941045394,13178.7599329398,NA,NA,1.6,3.1335,2.5,25.2333333333333,33.7,43.5,NA,NA,35704498,10893069
"35","CHI","Channel Islands",2015,NA,NA,1.521,NA,NA,NA,162190,NA,83806.4476003837,33405.5647596497,NA,NA,1.54,3.02925,2.5,19.55,32.3,39.7666666666667,NA,NA,8282396,12777849.5
"36","CHL","Chile",2015,13567.3572174332,NA,1.737,3.1,45.3,NA,17870124,16,NA,42584.1738198976,NA,NA,1.521,2.674,NA,18.0333333333333,NA,33,NA,NA,162190,12242104.25
"37","CHN","China",2015,8016.44559489998,NA,1.67,2.5,38.6,96.5,1379860000,26,13567.3572174332,46989.3329741188,NA,NA,1.737,1.5995,3.1,2.7,45.3,37.1,NA,NA,17870124,15504802
"38","CIV","Cote d'Ivoire",2015,1941.58189765549,NA,4.813,11.9,41.5,NA,23596741,530,8016.44559489998,35130.0834709056,NA,NA,1.67,1.617,2.5,2.7,38.6,38.7333333333333,96.5,96.5,1379860000,351543677.5
"39","CMR","Cameroon",2015,1399.67533596114,NA,4.832,4.4,NA,NA,23012646,447,1941.58189765549,7841.79490332956,NA,NA,4.813,2.43525,11.9,5.83333333333333,41.5,41.8,NA,96.5,23596741,355372263.75
"40","COD","Congo, Dem. Rep.",2015,482.064568638238,NA,6.437,30.2,NA,NA,78656904,578,1399.67533596114,6231.26501148745,NA,NA,4.832,3.263,4.4,5.475,NA,41.8,NA,96.5,23012646,361084877.75
"41","COG","Congo, Rep.",2015,2455.34085824476,NA,4.564,27.7,NA,93.5,5064386,360,482.064568638238,2959.94184928871,NA,NA,6.437,4.438,30.2,12.25,NA,40.05,NA,96.5,78656904,376281572.75
"42","COL","Colombia",2015,6228.65162110371,17.4,1.863,4.9,51,97.5,47119728,70,2455.34085824476,1569.66566512491,NA,NA,4.564,5.1615,27.7,18.55,NA,41.5,93.5,93.5,5064386,32582669.25
"43","COM","Comoros",2015,1322.93677605288,NA,4.418,12.4,NA,NA,730216,261,6228.65162110371,2641.43309598696,17.4,17.4,1.863,4.424,4.9,16.8,51,51,97.5,95.5,47119728,38463416
"44","CPV","Cabo Verde",2015,3169.07890082563,NA,2.117,21.4,42.4,NA,552166,47,1322.93677605288,2622.2484560099,NA,17.4,4.418,4.3205,12.4,18.8,NA,51,NA,95.5,730216,32892808.5
"45","CRI","Costa Rica",2015,11529.9551730192,NA,1.79,4.2,48.4,NA,4895242,20,3169.07890082563,3294.00203905675,NA,17.4,2.117,3.2405,21.4,16.6,42.4,46.7,NA,95.5,552166,13366624
"46","CUB","Cuba",2015,7683.74025365669,NA,1.694,2.5,NA,NA,11339894,39,11529.9551730192,5562.65561775036,NA,17.4,1.79,2.547,4.2,10.725,48.4,47.2666666666667,NA,97.5,4895242,13324338
"47","CUW","Curacao",2015,19361.8130008678,NA,1.9,NA,NA,NA,157980,NA,7683.74025365669,5926.4277758886,NA,NA,1.694,2.50475,2.5,10.125,NA,45.4,NA,NA,11339894,4379379.5
"48","CYM","Cayman Islands",2015,77295.8456647776,NA,NA,NA,NA,NA,60911,NA,19361.8130008678,10436.1468320923,NA,NA,1.9,1.87525,NA,9.36666666666667,NA,45.4,NA,NA,157980,4236320.5
"49","CYP","Cyprus",2015,23487.21875,NA,1.326,2.5,34,NA,1187280,42,77295.8456647776,28967.8385230803,NA,NA,NA,1.79466666666667,NA,3.35,NA,48.4,NA,NA,60911,4113506.75
"50","CZE","Czechia",2015,17829.6983223668,NA,1.57,2.5,25.9,NA,10546059,4,23487.21875,31957.1544173255,NA,NA,1.326,1.64,2.5,2.5,34,34,NA,NA,1187280,3186516.25
"51","DEU","Germany",2015,41103.2564363768,NA,1.5,2.5,31.7,NA,81686611,5,17829.6983223668,34493.6439345031,NA,NA,1.57,1.59866666666667,2.5,2.5,25.9,29.95,NA,NA,10546059,2988057.5
"52","DJI","Djibouti",2015,2409.31190224284,NA,3.066,21.3,NA,NA,1006259,244,41103.2564363768,39929.0047933803,NA,NA,1.5,1.46533333333333,2.5,2.5,31.7,30.5333333333333,NA,NA,81686611,23370215.25
"53","DMA","Dominica",2015,7724.04241057376,NA,1.694,5.6,NA,NA,70007,NA,2409.31190224284,21207.3713527466,NA,NA,3.066,1.8655,21.3,7.2,NA,30.5333333333333,NA,NA,1006259,23606552.25
"54","DNK","Denmark",2015,53254.8563700916,NA,1.71,2.5,28.2,NA,5683483,6,7724.04241057376,17266.5772678901,NA,NA,1.694,1.9575,5.6,7.975,NA,28.8,NA,NA,70007,23327234
"55","DOM","Dominican Republic",2015,6838.93674590634,NA,2.43,7.4,45.2,NA,10405832,99,53254.8563700916,26122.8667798213,NA,NA,1.71,1.9925,2.5,7.975,28.2,29.95,NA,NA,5683483,22111590
"56","DZA","Algeria",2015,4741.49977033558,NA,3.041,2.6,NA,NA,39543154,89,6838.93674590634,17556.7868572036,NA,NA,2.43,2.225,7.4,9.2,45.2,36.7,NA,NA,10405832,4291395.25
"57","ECU","Ecuador",2015,6002.1083111024,NA,2.26,9,46,NA,16195902,66,4741.49977033558,18139.8338242268,NA,NA,3.041,2.21875,2.6,4.525,NA,36.7,NA,NA,39543154,13925619
"58","EGY","Egypt, Arab Rep.",2015,3370.38244716015,NA,3.436,5.8,31.8,NA,97723799,24,6002.1083111024,17709.350299359,NA,NA,2.26,2.36025,9,5.375,46,39.8,NA,NA,16195902,17957092.75
"59","ERI","Eritrea",2015,NA,NA,4.217,NA,NA,NA,3340006,399,3370.38244716015,5238.23181862612,NA,NA,3.436,2.79175,5.8,6.2,31.8,41,NA,NA,97723799,40967171.75
"60","ESP","Spain",2015,25754.36102944,NA,1.33,2.5,36.2,NA,46444832,4,NA,4704.66350953271,NA,NA,4.217,3.2385,NA,5.8,NA,38.9,NA,NA,3340006,39200715.25
"61","EST","Estonia",2015,17402.0376128079,NA,1.58,2.5,32.7,NA,1315407,6,25754.36102944,11708.9505959009,NA,NA,1.33,2.81075,2.5,5.76666666666667,36.2,38,NA,NA,46444832,40926134.75
"62","ETH","Ethiopia",2015,630.312619383054,NA,4.531,14.5,35,NA,102471895,399,17402.0376128079,15508.9270298027,NA,NA,1.58,2.64075,2.5,3.6,32.7,33.5666666666667,NA,NA,1315407,37206011
"63","FIN","Finland",2015,42801.9081167285,NA,1.65,2.5,27.1,NA,5479531,7,630.312619383054,14595.5704205437,NA,NA,4.531,2.9145,14.5,6.5,35,34.6333333333333,NA,NA,102471895,38393035
"64","FJI","Fiji",2015,5105.18959221062,NA,2.642,9.2,NA,NA,917200,39,42801.9081167285,21647.1548445899,NA,NA,1.65,2.27275,2.5,5.5,27.1,32.75,NA,NA,5479531,38927916.25
"65","FRA","France",2015,36652.9223052178,NA,1.96,2.5,32.7,NA,66548272,8,5105.18959221062,16484.8619852825,NA,NA,2.642,2.60075,9.2,7.175,NA,31.6,NA,NA,917200,27546008.25
"66","FRO","Faroe Islands",2015,52726.6873782078,NA,2.419,NA,NA,NA,48816,NA,36652.9223052178,21297.583158385,NA,NA,1.96,2.69575,2.5,7.175,32.7,31.6,NA,NA,66548272,43854224.5
"67","FSM","Micronesia, Fed. Sts.",2015,2891.32210264749,NA,2.971,NA,NA,NA,109462,64,52726.6873782078,34321.6768480912,NA,NA,2.419,2.16775,NA,4.73333333333333,NA,29.9,NA,NA,48816,18248454.75
"68","GAB","Gabon",2015,7090.45463394942,NA,3.889,16.3,NA,NA,2028517,212,2891.32210264749,24344.0303445709,NA,NA,2.971,2.498,NA,5.85,NA,32.7,NA,NA,109462,16905937.5
"69","GBR","United Kingdom",2015,44964.3911437292,NA,1.8,2.5,33.3,NA,65116219,8,7090.45463394942,24840.3466050056,NA,NA,3.889,2.80975,16.3,9.4,NA,32.7,NA,NA,2028517,17183766.75
"70","GEO","Georgia",2015,4086.6223465965,NA,2.204,3.6,36.5,NA,3725276,30,44964.3911437292,26918.2138146335,NA,NA,1.8,2.76975,2.5,9.4,33.3,33.3,NA,NA,65116219,16825753.5
"71","GHA","Ghana",2015,1711.27132561453,NA,4.05,8.2,NA,NA,28870939,286,4086.6223465965,14758.1975567307,NA,NA,2.204,2.716,3.6,7.46666666666667,36.5,34.9,NA,NA,3725276,17744868.5
"72","GIB","Gibraltar",2015,NA,NA,2.186,NA,NA,NA,32520,NA,1711.27132561453,14463.1848624724,NA,NA,4.05,2.98575,8.2,7.65,NA,34.9,NA,NA,28870939,24935237.75
"73","GIN","Guinea",2015,756.425589810936,NA,5.022,12.9,NA,NA,11625998,649,NA,16920.7616053134,NA,NA,2.186,2.56,NA,4.76666666666667,NA,34.9,NA,NA,32520,24436238.5
"74","GMB","Gambia, The",2015,611.67121911225,NA,5.314,15.9,35.9,NA,2253133,535,756.425589810936,2184.77308734066,NA,NA,5.022,3.3655,12.9,8.23333333333333,NA,36.5,NA,NA,11625998,11063683.25
"75","GNB","Guinea-Bissau",2015,644.179063890749,NA,4.671,35.1,NA,NA,1788919,713,611.67121911225,1026.45604484591,NA,NA,5.314,4.143,15.9,12.3333333333333,35.9,35.9,NA,NA,2253133,10695647.5
"76","GNQ","Equatorial Guinea",2015,9788.98380369718,NA,4.774,NA,NA,NA,1346973,201,644.179063890749,670.758624271312,NA,NA,4.671,4.29825,35.1,21.3,NA,35.9,NA,NA,1788919,3925142.5
"77","GRC","Greece",2015,18083.8779056547,NA,1.33,2.5,36,NA,10820883,5,9788.98380369718,2950.31491912778,NA,NA,4.774,4.94525,NA,21.3,NA,35.9,NA,NA,1346973,4253755.75
"78","GRD","Grenada",2015,8379.62184743156,NA,2.126,NA,NA,NA,118980,23,18083.8779056547,7282.17799808872,NA,NA,1.33,4.02225,2.5,17.8333333333333,36,35.95,NA,NA,10820883,4052477
"79","GRL","Greenland",2015,44536.3549705377,NA,2.01,NA,NA,NA,56114,NA,8379.62184743156,9224.16565516855,NA,NA,2.126,3.22525,NA,18.8,NA,36,NA,NA,118980,3518938.75
"80","GTM","Guatemala",2015,3994.62908519019,20.7,3.029,15.7,NA,91.3,15567419,107,44536.3549705377,20197.2096318303,NA,NA,2.01,2.56,NA,2.5,NA,36,NA,NA,56114,3085737.5
"81","GUM","Guam",2015,34522.3779304433,NA,2.922,NA,NA,NA,167978,NA,3994.62908519019,18748.6209522035,20.7,20.7,3.029,2.12375,15.7,9.1,NA,36,91.3,91.3,15567419,6640849
"82","GUY","Guyana",2015,5668.42976474423,NA,2.534,4.5,NA,NA,755031,128,34522.3779304433,22858.2459584007,NA,20.7,2.922,2.52175,NA,15.7,NA,NA,NA,91.3,167978,3977622.75
"83","HKG","Hong Kong SAR, China",2015,42432.1619740441,NA,1.196,2.5,NA,NA,7291300,NA,5668.42976474423,22180.4479377289,NA,20.7,2.534,2.62375,4.5,10.1,NA,NA,NA,91.3,755031,4136635.5
"84","HND","Honduras",2015,2257.22528369354,NA,2.581,15.5,49.2,NA,9294505,67,42432.1619740441,21654.3996886055,NA,20.7,1.196,2.42025,2.5,7.56666666666667,NA,NA,NA,91.3,7291300,5945432
"85","HRV","Croatia",2015,12135.1036186683,NA,1.41,2.5,31.1,NA,4203604,6,2257.22528369354,21220.0487382313,NA,NA,2.581,2.30825,15.5,7.5,49.2,49.2,NA,NA,9294505,4377203.5
"86","HTI","Haiti",2015,1405.71477634354,NA,3.108,38.8,NA,NA,10563757,391,12135.1036186683,15623.2301602875,NA,NA,1.41,1.93025,2.5,6.25,31.1,40.15,NA,NA,4203604,5386110
"87","HUN","Hungary",2015,12717.038597002,NA,1.45,2.5,30.4,NA,9843028,15,1405.71477634354,14557.5514131874,NA,NA,3.108,2.07375,38.8,14.825,NA,40.15,NA,NA,10563757,7838291.5
"88","IDN","Indonesia",2015,3322.58167895444,NA,2.345,7.3,38.2,NA,259091970,194,12717.038597002,7128.77056892685,NA,NA,1.45,2.13725,2.5,14.825,30.4,36.9,NA,NA,9843028,8476223.5
"89","IMN","Isle of Man",2015,84753.5187422732,NA,1.711,NA,NA,NA,83593,NA,3322.58167895444,7395.10966774207,NA,NA,2.345,2.07825,7.3,12.775,38.2,33.2333333333333,NA,NA,259091970,70925589.75
"90","IND","India",2015,1590.17433134297,NA,2.287,14,34.7,NA,1322866505,128,84753.5187422732,25549.7134486433,NA,NA,1.711,2.1535,NA,16.2,NA,34.3,NA,NA,83593,69895587
"91","IRL","Ireland",2015,62179.2642662951,NA,1.85,2.5,31.8,NA,4701957,6,1590.17433134297,25595.8283373932,NA,NA,2.287,1.94825,14,7.93333333333333,34.7,34.4333333333333,NA,NA,1322866505,397971274
"92","IRN","Iran, Islamic Rep.",2015,4990.93679541655,NA,2.053,6.3,35.3,NA,81790841,20,62179.2642662951,37961.3847547164,NA,NA,1.85,2.04825,2.5,7.93333333333333,31.8,34.9,NA,NA,4701957,396686006.25
"93","IRQ","Iraq",2015,4416.94292408042,NA,4.09,17.3,NA,NA,37757813,102,4990.93679541655,38378.473533832,NA,NA,2.053,1.97525,6.3,7.6,35.3,33.9333333333333,NA,NA,81790841,352360724
"94","ISL","Iceland",2015,52951.6815110898,NA,1.8,2.5,26.8,NA,330815,3,4416.94292408042,18294.3295792838,NA,NA,4.09,2.57,17.3,10.025,NA,33.9333333333333,NA,NA,37757813,361779279
"95","ISR","Israel",2015,36206.5222171621,NA,3.09,2.5,39.7,NA,8380100,3,52951.6815110898,31134.7063742205,NA,NA,1.8,2.44825,2.5,7.15,26.8,31.3,NA,NA,330815,31145356.5
"96","ITA","Italy",2015,30242.3861352184,NA,1.35,2.5,35.4,NA,60730582,7,36206.5222171621,24641.5208619372,NA,NA,3.09,2.75825,2.5,7.15,39.7,33.9333333333333,NA,NA,8380100,32064892.25
"97","JAM","Jamaica",2015,5077.55096915616,NA,1.588,8,NA,NA,2794445,97,30242.3861352184,30954.3831968877,NA,NA,1.35,2.5825,2.5,6.2,35.4,33.9666666666667,NA,NA,60730582,26799827.5
"98","JOR","Jordan",2015,4064.25301043642,NA,3.175,NA,NA,NA,9494246,46,5077.55096915616,31119.5352081566,NA,NA,1.588,1.957,8,3.875,NA,33.9666666666667,NA,NA,2794445,18058985.5
"99","JPN","Japan",2015,34960.6393843385,NA,1.45,2.5,NA,NA,127141000,5,4064.25301043642,18897.6780829933,NA,NA,3.175,2.30075,NA,4.33333333333333,NA,37.55,NA,NA,9494246,20349843.25
"100","KAZ","Kazakhstan",2015,10510.7703240885,NA,2.74,2.5,26.8,99.3,17542806,13,34960.6393843385,18586.2073747874,NA,NA,1.45,1.89075,2.5,4.33333333333333,NA,35.4,NA,NA,127141000,50040068.25
"101","KEN","Kenya",2015,1496.65357260021,19.2,3.8,20,40.8,93.7,46851488,483,10510.7703240885,13653.3034220049,NA,NA,2.74,2.23825,2.5,4.33333333333333,26.8,26.8,99.3,99.3,17542806,39243124.25
"102","KGZ","Kyrgyz Republic",2015,1121.08269597662,NA,3.2,5.8,29,NA,5956900,61,1496.65357260021,12758.0790728659,19.2,19.2,3.8,2.79125,20,8.33333333333333,40.8,33.8,93.7,96.5,46851488,50257385
"103","KHM","Cambodia",2015,1170.74281578643,NA,2.55,6.9,NA,NA,15417523,209,1121.08269597662,12022.286494251,NA,19.2,3.2,2.7975,5.8,7.7,29,32.2,NA,96.5,5956900,49373048.5
"104","KIR","Kiribati",2015,1641.48097739743,NA,3.53,10.9,NA,NA,116707,121,1170.74281578643,3574.81235211294,NA,19.2,2.55,3.0725,6.9,8.8,NA,32.2,NA,96.5,15417523,21442179.25
"105","KNA","St. Kitts and Nevis",2015,20029.759828881,NA,1.643,NA,NA,NA,47790,NA,1641.48097739743,1357.49001544017,NA,19.2,3.53,3.27,10.9,10.9,NA,34.9,NA,93.7,116707,17085654.5
